"","GSM1169222","GSM1169223","GSM1169224","GSM1169225","GSM1169226","GSM1169227","GSM1169228","GSM1169229","GSM1169230","GSM1169231","GSM1169232","GSM1169233","GSM1169234","GSM1169235","GSM1169236","GSM1169237"
"'PCCGCIGL_06133'",0.255944890273881,0.329712725543014,0.296021144048687,0.235142096747866,0.109072840034828,0.0368546700084254,0.295359209335428,0.240507423550108,0.521184055045511,0.545806738886419,0.461820561492237,0.351739070407455,0.226729050143194,0.213477075467066,-0.0570647828518209,0.139989896929674
"'PCCGCIGL_05201'",0.284511220930005,0.162719014423285,0.257352596373881,0.307803970581061,0.429140460393604,0.685451820189466,0.607362265925901,0.662877591028929,-0.252392651397838,-0.00990803231331158,0.0978979391799078,-0.0551790709682761,-0.0821984810173654,0.074848869480858,0.355901723599694,0.214642312557116
"'PCCGCIGL_00527'",0.237803935815532,0.273252387688223,0.585432498862568,0.571945675505049,0.279433545316056,0.710768774420112,0.401967073776206,0.38476084946057,0.70025445276466,0.651663497091394,0.666083877225907,0.463845908621024,-0.921723850353074,-1.03953290583121,-0.855501341518703,-0.680404375012189
"'PCCGCIGL_01866'",-1.24202109353165,-1.23034487729424,-1.30134354562544,-1.44644251336599,-0.723151438915044,-0.934780769099665,-0.91085209654215,-0.915149317362199,-1.40187144121474,-1.57384686571493,-1.45934992061378,-1.37856938520822,0.191793544192308,-0.402126687742726,-0.0181047416779819,-0.017988419254739
"'PCCGCIGL_07093'",0.176683863458001,0.324690225969641,0.0321940923396759,0.432397967322078,-0.294964203415819,-0.450673623361106,-0.508622947342205,-0.291449523322433,0.231041720280451,0.387412248861353,0.325105571614498,0.519576531176909,-0.120270694289012,-0.174612914963722,-0.185169403378057,-0.522498874024548
"'PCCGCIGL_01389'",0.272637521587611,0.444608084049969,0.46599763708835,0.380999351552644,0.534390097882352,0.514573299878886,0.490471730413421,0.483218401582563,-0.184071059077861,0.151642886583002,-0.0267114017665041,0.150554161840739,0.389562491493568,0.175512938458916,0.11747201165847,0.382421144909091
"'PCCGCIGL_06386'",-0.111362423714401,-0.148485773760166,-0.155227758003675,-0.102755320532675,0.185909483906586,0.255444246410782,0.3480350338469,0.129417548521066,-0.380248921590051,-0.413000102372192,-0.468153498972,-0.345779163644528,0.0531630511688389,-0.202503675927208,-0.0752925556046757,-0.0273315642633172
"'PCCGCIGL_06009'",0.753388120045865,0.771045455403017,0.749762002948965,0.736135287256293,1.03731250771042,1.10859800715236,1.07301817558081,1.06305828540147,0.0104464912012777,0.19072154289859,-0.221480717099081,0.0518438339473025,0.30309664912467,0.336381948314865,0.670995504233345,0.565237314039785
"'PCCGCIGL_06628'",-0.22725987215004,0.678345553963625,0.47892431409592,-2.18618865246536,0.785786783410847,-0.140996806060475,0.352501041846126,-0.1628335527135,0.586413937431628,0.202780990781615,0.563851009191576,-1.25123917554207,-0.707737693816213,-0.586135037214667,-1.29870863275537,0.51656181000623
"'PCCGCIGL_06628'",0.373584594896771,-0.242370093722661,-0.810020924093148,-0.673970796581917,-2.73401447375814,-3.53543429097985,-3.37223346815686,-3.53674213074161,-0.874295362938972,-1.59968049776451,-1.4500102809415,-1.50118440372502,-1.00151610426462,-0.774491352192282,-1.89106243601833,-1.06666842939423
"'PCCGCIGL_01423'",-0.0235676077393434,0.13758600230011,0.0451254023716497,-0.0517515071101766,-0.106649207254038,-0.184516638404372,0.36904668474102,-0.345389942137537,-0.0975951529293809,-0.0332385446533057,-0.0802187056583776,-0.202273934396258,0.381896017936159,0.0430285409285762,-0.0720199912639222,0.133918566498972
"'PCCGCIGL_01423'",NA,NA,0.208533951737001,NA,1.90949282164346,NA,0.127192542547835,0.195385226731896,NA,1.42446053817034,-0.392053555200348,1.18905394838271,0.15780665339792,0.469371922143371,NA,0.284795322012755
"'PCCGCIGL_01423'",-2.40303419242529,-2.69613761932358,-2.98800180441882,-3.26764599997786,-1.55922997476731,-1.68263348664781,-1.66152643779355,-1.45080724026544,-2.60833862921519,-3.67388803736222,-3.45348774997458,-3.14184222973092,-7.32071909232276,-7.22135829205784,-7.7242565204379,-7.1459063783416
"'PCCGCIGL_01423'",-0.662475251600706,-0.712121400237435,-0.498913780597231,-0.893427304344385,0.676103118862589,0.176796796658725,0.0801038904481601,0.361774577941151,-0.952445515837604,-0.97928707342326,-0.858241703536235,-0.543776891463038,-0.344364120372951,-0.817398032383824,-0.181259115706326,-0.400143184290636
"'PCCGCIGL_06667'",0.495166038008002,0.594365280285499,0.639258457696236,0.462784383079578,0.17756119205622,0.574654773163902,0.374173249369486,0.197542447140822,0.399880610943944,0.688343780035592,0.653266045320512,0.681042514951904,-0.394521658867155,0.140822970025341,-0.0712101849680591,0.0574196075686176
"'PCCGCIGL_05417'",-0.881913685706296,-0.807140684750499,-0.966686435543757,-1.1087632684411,-1.67038557969048,-1.54909722484056,-1.70771269465573,-1.57366881326507,-0.118193507950646,-0.226211058752068,-0.129730672312013,-0.105284257842594,0.903644973730763,1.0052337499211,0.809102634699891,0.955047245675665
"'PCCGCIGL_05417'",-0.995668457269128,-0.930070490150427,-0.857152169054197,-0.819073246310311,-1.83214350710444,-1.78275232408475,-2.04912330258351,-1.63782734308028,-0.336044492983151,-0.0352402307618228,-0.256661817781455,-0.124757594535349,1.0811147694177,1.13825180330129,1.05882772050871,0.628339030326001
"'PCCGCIGL_06812'",0.0860963277884024,0.0904041040149273,0.276639914242689,0.112221212076171,0.615694593576993,0.300715766677982,0.357993900658887,0.450509643914251,-0.121247665992006,-0.270669848939199,-0.298756134966126,-0.356149667198451,0.143235900411786,0.00971913842208326,-0.0574364885742669,0.193856264164912
