rxn00859_c0,Histidine Metabolism
rxn03175_c0,Histidine Metabolism
rxn02834_c0,Histidine Metabolism
rxn00789_c0,Histidine Metabolism
rxn02473_c0,Histidine Metabolism
rxn27926_c0,Histidine Metabolism
rxn03084_c0,Purine Metabolism
rxn03004_c0,Purine Metabolism
rxn02895_c0,Purine Metabolism
rxn00834_c0,Purine Metabolism
rxn00097_m0,Purine Metabolism
rxn00790_c0,Purine Metabolism
rxn02937_c0,Purine Metabolism
rxn00917_c0,Purine Metabolism
rxn03137_c0,Purine Metabolism
rxn29985_c0,Purine Metabolism
rxn30004_c0,Purine Metabolism
rxn00831_c0,Purine Metabolism
rxn00832_c0,Purine Metabolism
rxn01520_c0,Pyrimidine Metabolism
rxn00711_c0,Pyrimidine Metabolism
rxn05235_c0,Pyrimidine Metabolism
rxn01673_c0,Pyrimidine Metabolism
rxn10505_c0,Riboflavin Metabolism
rxn00300_c0,Riboflavin Metabolism
R_DRTPPD_c0,Riboflavin Metabolism
rxn05040_c0,Riboflavin Metabolism
PMDPHT,Riboflavin Metabolism
R_URAt2_e0,Uracil Degradation 
3HPr_exc,Uracil Degradation 
EX_3HPr_e0,Uracil Degradation 
URC4,Uracil Degradation 
URC6,Uracil Degradation 
